publisher	journal	role	editor	orcid	affiliation	url	date
Hindawi	Advances in Civil Engineering	Associate Editors	Xianbo Zhao	0000-0003-0153-5173	Central Queensland University, Australia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Glenda Abate	NA	University of Catania, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Khalid Abdel-Rahman	NA	Leibniz Universität Hannover, Germany	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Abdul Aziz bin Abdul Samad	0000-0002-4707-9815	Universiti Tun Hussein Onn Malaysia, Malaysia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Musa Adamu	NA	Department of Civil and Environmental Engineering Universiti Teknologi PETRONAS , Malaysia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Ali Mardani Aghabaglou	NA	Bursa Uludağ University, Turkey	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	José Aguiar	0000-0003-3954-5721	University of Minho, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Muhammad Riaz Ahmad	NA	Hong Kong Polytechnic University, Hong Kong	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Reza Akhavian	0000-0001-9691-8016	San Diego State University, USA	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Hashim M.N. Al-Madani	NA	Department of Civil Engineering College of Engineering University of Bahrain, Bahrain	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Luigi Aldieri	NA	Department of Economic and Statistical Sciences University of Salerno , Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Ricardo M.S.F. Almeida	0000-0002-9846-6081	CONSTRUCT-LFC, Faculty of Engineering (FEUP), University of Porto, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Angelo Aloisio	NA	Università degli Studi dell'Aquila, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Maria Cruz Alonso	NA	Eduardo Torroja Construction Research Institute, Spain	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Filipe Amarante dos Santos	0000-0002-5815-4622	New University Lisbon, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Serji N. Amirkhanian	NA	University of Alabama, USA	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Eleftherios K. Anastasiou	NA	Lab. of Building Materials Dept of Civil Engineering Aristotle University of Thessaloniki , Greece	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Panagiotis Ch. Anastasopoulos	0000-0002-1555-3308	University at Buffalo, USA	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Farhad Aslani	0000-0002-0505-6068	University of Western Australia, Australia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Paul Awoyera	NA	Covenant University , Nigeria	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Abdulkadir Cuneyt Aydin	NA	Atatürk University, Turkey	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Ozgur BASKAN	0000-0001-5016-8328	Pamukkale University, Turkey	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Adewumi Babafemi	NA	Obafemi Awolowo University, Nigeria	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Morteza Bagherpour	NA	Department of Industrial Engineering University of Science and Technology (IUST) , Iran	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Qingsheng Bai	0000-0002-9782-940X	University of Toronto, Canada	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Nicola Baldo	0000-0002-5627-9763	Polytechnic Dept. of Engineering and Architecture, University of Udine, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Daniele Baraldi	0000-0001-5741-9775	Università IUAV di Venezia, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Eva Barreira	0000-0002-1343-5578	CONSTRUCT-LFC, Faculty of Engineering (FEUP), University of Porto, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Emilio Bastidas-Arteaga	0000-0002-7370-5218	Université de Nantes, France	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Rita Bento	NA	CERIS, ICIST, DECivil, Instituto Superior Técnico, Universidade de Lisboa  , Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Rafael Bergillos	NA	University of Córdoba, Spain	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Han-bing Bian	NA	Changsha University of Science &amp; Technology, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Xia Bian	NA	Key Laboratory of Ministry of Education for Geomechanics and Embankment Engineering Hohai Univ. , China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Huseyin Bilgin	NA	Epoka University, Albania	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Giovanni Biondi	NA	Università degli Studi di Messina, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Hugo C. Biscaia	0000-0002-4791-5123	Universidade Nova de Lisboa, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Giosuè Boscato	0000-0001-6537-3084	University of Venice, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Melina Bosco	0000-0002-6901-6612	University of Catania, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Jorge Branco	NA	University of Minho, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Bruno Briseghella	0000-0002-8002-2298	Fuzhou University, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Brian M. Broderick	NA	Department of Civil, Structural and Environmental Engineering;Trinity College Dublin, Ireland	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Emanuele Brunesi	0000-0002-9702-8186	European Centre for Training and Research in Earthquake Engineering, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Quoc-Bao Bui	0000-0002-9675-0038	Sustainable Developments in Civil Engineering Research Group, Faculty of Civil Engineering, Ton Duc Thang 6 University, Ho Chi Minh City, Vietnam	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Tan-Trung Bui	0000-0002-8279-7230	University Lyon, France	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Nicola Buratti	NA	University of Bologna , Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	"Gaochuang	 Cai"	NA	National School of Engineers of Saint-Etienne (ENISE), France	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Gladis Camarini	0000-0003-4536-9699	University of Campinas, Brazil	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Alberto Campisano	0000-0002-8664-8996	Università di Catania, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Francesco Canestrari	NA	Polytechnic University of Marche, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Wenzhuo Cao	NA	Department of Earth Science and Engineering, Royal School of Mines, Imperial College London, United Kingdom	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Iacopo Carnacina	NA	University of Pisa , Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Alessio Cascardi	NA	, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Paolo Castaldo	0000-0002-7956-9392	Politecnico di Torino, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Giulio Castori	0000-0002-1541-0673	University of Perugia, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Nicola Cavalagli	NA	University of Perugia, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Liborio Cavaleri	NA	University of Palermo, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Robert Cerný	0000-0002-0955-2886	Czech Technical University in Prague, Czech Republic	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Wen-Shao Chang	0000-0002-2218-001X	University of Sheffield, United Kingdom	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Carlos Chastre	NA	New University of Lisbon, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Hang Chen	0000-0001-9717-7539	Guangzhou Inst Bldg Sci Co Ltd, 833 North Baiyun Ave, Guangzhou 510440, Guangdong, Peoples R China, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Li Chen	0000-0002-6059-3157	Southeast University, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Po-Han Chen	0000-0003-4025-5414	National Taiwan University, Taiwan	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Qian Chen	NA	Chang'an University, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Qiusong Chen	0000-0001-6062-0592	University of Western Australia, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Wei Tong Chen	0000-0001-9599-034X	Dept of Civil and Construction Engineering, Naitonal Yunlin University of Sci. &amp; Tech., Taiwan	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Wensu Chen	0000-0001-9933-8156	Curtin University, Australia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Zhanbo Cheng	NA	University of Warwick, United Kingdom	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Nicholas Chileshe	NA	University of South Australia, Australia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Prinya Chindaprasirt	0000-0003-1062-3626	Khon Kaen University, Thailand	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Corrado Chisari	0000-0002-1638-8017	Imperial College London, United Kingdom	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Wanjei Cho	0000-0002-7716-9029	Dept. of Civil and Environmental Eng, Dankook University, Republic of Korea	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Se Jin Choi	0000-0002-2142-3745	Department of Architectural Engineering, Wonkwang University,460 Iksan-daero, Iksan 54538,, Republic of Korea	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Heap-Yih (John) Chong	0000-0002-6080-7530	Curtin University, Australia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Ting-Xiang Chu	NA	State Key Laboratory of Coal Resources and Safe Mining China University of Mining and Technology , China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Zhaofei Chu	NA	Wuhan University, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Wonseok Chung	0000-0002-8071-6820	Kyung Hee University, Republic of Korea	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Gian Paolo Cimellaro	NA	Dept. of Structural, Geotechnical and Building Engineering (DISEG) Politecnico di Torino , Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Francesco Colangelo	NA	Universita degli Studi di Napoli Parthenope, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Marco Corradi	0000-0003-3872-3303	University of Perugia, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	"Liviu-Adrian	 Cotfas	"	NA	Bucharest University of Economic Studies, Romania	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Sandra Cunha	0000-0002-6384-1355	University of Minho, Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Andrzej Cwirzen	0000-0001-6287-2240	Department of Civil Environmental and Natural Resources Engineering Luleå University of Technology, Sweden	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Antonio Maria D'Altri	NA	University of Bologna, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Han-Cheng Dan	0000-0002-2817-3005	Central South University, Chinaademe , China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Amos Darko	0000-0002-7978-6039	The Hong Kong Polytechnic University, Hong Kong	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Arka Jyoti Das	NA	Cent Inst Min &amp; Fuel Res, CSIR, India	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Academic Editors	Dario De Domenico	0000-0003-1279-9529	University of Messina, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
